seq,Genus
C1,Cladocopium
thermophil,Cladocopium
C7a,Cladocopium
C90,Cladocopium
C91,Cladocopium
C15,Cladocopium
H1,Halluxium
H1a,Halluxium
H_1678J,Halluxium
H_751,Halluxium
H_1286x,Halluxium
P1C4_Heron,Halluxium
F2,Symbiodinium_Fr2
F2a,Symbiodinium_Fr2
F_1335J,Symbiodinium_Fr2
F_1320J,Symbiodinium_Fr2
F3.2,Freudenthalidium
F3.1a,Freudenthalidium
F_5243X,Freudenthalidium
F_5244x,Freudenthalidium
F_1635,Freudenthalidium
F_188X,Freudenthalidium
P1G6_Heron,Freudenthalidium
P2D2_Heron,Freudenthalidium
F4.1,Symbiodinium_Fr4
F4.8,Symbiodinium_Fr4
F_1334X,Symbiodinium_Fr4
F_1628X,Symbiodinium_Fr4
F_836J,Symbiodinium_Fr4
F_1349X,Symbiodinium_Fr4
kawagutii,Fugacium
F5.1,Fugacium
F5.1d,Fugacium
F1,Fugacium
F5.2g,Fugacium
F_i971X,Fugacium
minutum,Breviolum
antillogor,Breviolum
pseudomin,Breviolum
endomadra,Breviolum
psygmophil,Breviolum
aenigmatic,Breviolum
i1,Symbiodinium_I
i2,Symbiodinium_I
glynnii,Durusdinium
D1a,Durusdinium
D8,Durusdinium
D15,Durusdinium
D1.1,Foraminifera_D
D1.2,Foraminifera_D
G2,Foraminifera_G
G2b,Foraminifera_G
endoclio,Gerakladium
spongiol,Gerakladium
E1,Effrenium
voratum,Effrenium
microadria,Symbiodinium
pilosum,Symbiodinium
CCMP_832,Symbiodinium
CCMP_2469,Symbiodinium
A2,Symbiodinium
A13,Symbiodinium
A2b,Symbiodinium
A3,Symbiodinium
Psimplex,Outgroup
